Consent_Page.started,Consent_Page.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_questionairre.started,pre_questionairre.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,pre_questionare2.started,pre_questionare2.stopped,reading_behaviour_response.keys,reading_behaviour_response.rt,reading_behaviour_response.duration,first_text.started,first_text.stopped,first_text_key.keys,first_text_key.rt,first_text_key.duration,first_loop.thisRepN,first_loop.thisTrialN,first_loop.thisN,first_loop.thisIndex,first_loop.ran,question,answer,perspective,source_type,first_AI_judgment.started,first_AI_judgment.stopped,first_AI_key.keys,first_AI_key.rt,first_AI_key.duration,first_check.started,first_check.stopped,first_check_key.keys,first_check_key.rt,first_check_key.duration,ai_resp_clean,check_resp_clean,trust_condition,trust_feedback.started,trust_feedback.stopped,feedback_key.keys,feedback_key.rt,feedback_key.duration,second_AI_judgment.started,second_AI_judgment.stopped,key_resp.keys,key_resp.rt,key_resp.duration,second_AI_judgment_2.started,second_AI_judgment_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,second_check.started,second_check.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,end_screen.started,end_screen.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,thank_you.started,thank_you.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration
0.0003,0.8926,space,0.8612,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,0.8932,5.4918,4,4.5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,5.4924,11.4265,1,5.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,11.4484,35.8145,space,24.3507,,0,0,0,0,1,"Why is an interdisciplinary approach important in the Human and AI master programme that brings together psychology, philosophy, and computer science?  -- PRESS SPACE TO CONITNUE--","From a technical perspective, an interdisciplinary Human and AI programme is crucial because technical systems never exist in a vacuum. We can design elegant algorithms, but once they are deployed, they interact with human attention, bias, and social norms. Working with psychologists helps us understand how people actually interpret model outputs, when they over-trust or under-trust them, and how interfaces can support better decisions. Philosophy contributes by clarifying normative questions: what does it mean for an AI system to be fair, transparent, or accountable, and which values should be encoded in design choices. Without these perspectives, computer scientists risk optimising for metrics that are technically impressive but socially harmful. Interdisciplinarity forces us to think not just about what AI can do, but what it should do and for whom.",CS,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,35.8151,37.1745,h,1.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1756,39.0134,y,1.8158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,y,raised,39.0138,40.7293,space,1.6996,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7295,47.5712,space,6.8164,,,,,,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5716,48.8177,h,1.2243,,,,,,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8181,51.4167,y,2.579,,,,,,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.417,64.2445,space,12.8058,,,,,,
,,,,,651784,001,2026-04-05_07h34.13.913,DeepTrust,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2449,64.9769,space,0.7136,
